name,price,visual_appeal,popularity
cupcake,3.21,9,10
cookie,8.73,4,8
pastry,9.77,9,10
scone,7.24,4,6
cupcake,8.08,2,10
muffin,9.62,4,9
cookie,1.77,4,9
bread,6.34,10,7
scone,1.44,4,1
bread,8.44,7,9
cupcake,4.65,10,9
donut,9.83,7,3
scone,5.04,7,4
bread,1.83,5,3
pastry,7.48,8,8
bread,2.82,6,5
muffin,9.63,9,5
bread,4.64,6,6
cupcake,9.65,1,10
cake,9.82,5,7
cupcake,1.9,5,8
brownie,6.2,7,2
pastry,4.4,6,3
donut,3.99,2,7
cookie,2.04,3,5
pastry,8.44,9,2
brownie,8.56,3,5
brownie,3.04,4,1
donut,8.54,1,6
cake,3.78,8,9
donut,5.6,6,9
pie,9.16,4,1
bread,4.98,10,2
donut,6.63,5,3
brownie,6.38,10,2
pie,3.6,1,5
bread,7.06,2,6
cupcake,6.53,9,10
scone,9.14,10,6
pie,9.19,4,8
cupcake,7.97,4,7
brownie,8.97,7,9
cake,2.77,3,2
brownie,5.7,9,5
pastry,9.16,2,8
donut,7.4,2,9
cookie,7.34,10,7
pie,3.15,3,6
pastry,8.67,7,4
cookie,4.55,8,9
cookie,9.79,9,5
pastry,2.44,3,5
scone,6.74,9,6
muffin,8.52,10,7
pie,7.85,10,6
bread,5.32,3,6
cupcake,4.53,8,6
bread,4.59,6,2
bread,3.1,8,4
brownie,4.13,8,8
muffin,1.97,7,9
pie,5.64,1,2
bread,1.23,2,6
cookie,1.83,6,2
cookie,2.66,4,5
pie,5.02,3,8
scone,5.88,8,10
cake,4.9,9,6
bread,9.84,9,5
cake,2.03,10,2
muffin,2.58,1,3
bread,1.06,2,10
cookie,9.26,8,3
cookie,7.19,8,1
muffin,9.32,9,8
bread,3.31,5,7
muffin,5.76,1,2
scone,2.05,3,2
bread,8.86,5,7
cookie,2.09,5,6
bread,8.81,1,8
donut,5.41,9,6
brownie,1.57,2,8
donut,7.6,6,1
brownie,7.96,6,4
bread,9.17,6,9
pie,9.92,1,3
muffin,8.78,9,8
cookie,6.14,5,3
brownie,6.48,2,1
pastry,7.43,10,2
donut,1.42,1,10
cookie,6.08,4,9
pastry,9.05,4,8
muffin,8.79,3,1
cookie,1.65,3,6
muffin,8.08,10,1
donut,9.44,10,6
cake,1.3,2,5
brownie,8.39,2,9
pie,3.6,2,6
cookie,5.05,1,4
bread,1.53,9,2
scone,4.3,3,10
pie,4.83,8,1
cake,7.12,10,5
cake,5.06,9,2
cookie,6.01,1,1
muffin,3.63,9,7
donut,3.76,7,6
bread,4.42,2,2
brownie,6.59,10,4
cookie,7.3,5,5
pastry,4.57,4,9
muffin,6.22,5,6
donut,2.37,8,5
muffin,4.5,9,4
brownie,7.46,5,7
cake,4.96,2,4
brownie,4.59,8,1
pastry,8.82,8,8
donut,1.97,7,4
scone,4.57,2,9
scone,4.58,3,5
pie,3.32,7,4
pie,1.05,6,7
pie,1.97,3,5
bread,6.67,7,10
cupcake,1.63,1,6
pie,5.21,1,9
donut,9.31,8,8
donut,3.66,4,1
cupcake,2.33,6,3
pastry,1.04,1,5
bread,2.81,8,10
brownie,8.86,2,4
brownie,7.1,5,4
muffin,9.93,5,1
pie,5.12,4,8
brownie,5.53,4,4
pie,1.53,8,10
pastry,4.87,8,1
scone,8.23,8,4
cupcake,2.03,2,9
pastry,2.2,7,10
donut,3.76,6,9
scone,1.97,6,9
bread,6.13,1,10
muffin,3.3,9,5
bread,3.08,3,7
pastry,8.39,7,5
scone,5.39,10,6
pie,9.54,6,10
bread,1.18,2,3
bread,1.06,4,6
pie,9.78,3,5
muffin,2.45,4,10
donut,8.67,3,8
bread,1.06,6,2
pastry,1.77,2,6
donut,8.52,4,10
cake,2.45,6,3
pie,8.88,1,8
cake,2.3,6,10
bread,1.13,6,4
pastry,5.53,6,6
pie,4.98,1,9
brownie,5.28,6,4
pie,3.59,8,7
pie,5.0,4,3
donut,8.52,1,8
scone,6.34,10,8
cupcake,9.74,2,7
pie,3.4,9,5
donut,8.68,9,6
pastry,4.23,10,7
cupcake,9.82,3,6
pie,2.43,3,10
cupcake,5.07,5,1
bread,8.29,2,2
pie,1.4,8,1
scone,8.55,4,8
brownie,6.28,4,6
brownie,3.92,9,7
scone,9.04,8,5
cupcake,5.19,8,10
scone,7.29,4,6
bread,5.82,9,6
scone,5.74,2,8
cookie,6.92,1,6
cupcake,5.7,4,9
scone,4.38,3,6
donut,1.7,1,7
cupcake,2.64,9,10
muffin,7.61,4,4
bread,7.44,3,6
donut,5.72,4,9
pie,4.22,10,4
pastry,3.21,2,6
brownie,6.66,7,10
brownie,7.33,3,10
pastry,5.2,1,7
cake,8.15,2,6
cupcake,2.4,5,4
donut,3.74,1,3
muffin,6.81,5,6
brownie,5.94,6,2
cake,2.96,9,5
scone,7.1,8,10
pastry,8.99,3,6
pie,4.55,2,8
cupcake,2.51,8,10
muffin,2.32,7,8
cupcake,5.87,10,1
pie,9.05,2,1
cupcake,5.52,5,7
cookie,4.69,3,1
brownie,9.3,1,8
brownie,8.42,4,2
brownie,8.9,6,3
pastry,5.07,1,7
cake,7.28,5,10
cupcake,4.17,5,5
bread,2.63,4,1
bread,3.11,5,3
brownie,8.57,8,9
pastry,8.07,4,7
muffin,3.24,9,10
scone,1.01,7,8
pie,7.13,7,4
muffin,9.29,10,8
bread,3.29,8,1
muffin,9.81,3,4
scone,8.07,1,7
cookie,2.66,3,6
donut,3.18,5,2
cupcake,2.8,1,4
bread,9.98,1,7
muffin,6.26,7,5
muffin,1.27,6,1
cupcake,8.23,6,6
scone,9.78,7,9
scone,1.91,6,2
scone,9.45,4,8
muffin,2.99,4,4
cookie,1.1,9,2
donut,5.3,10,5
cake,9.41,2,9
cake,4.81,6,10
cookie,1.46,6,5
brownie,9.38,10,1
pie,2.25,3,6
scone,6.22,8,3
scone,4.39,9,2
muffin,9.29,10,7
muffin,6.96,7,6
cupcake,5.48,3,9
cookie,3.75,4,6
cupcake,6.72,10,5
cookie,9.77,6,3
cupcake,7.6,5,1
scone,5.05,7,7
pie,4.96,8,7
muffin,6.89,10,1
pie,7.76,2,10
cake,5.69,8,1
cupcake,7.82,2,3
pastry,8.87,6,3
muffin,8.52,1,1
bread,7.01,6,7
pie,4.76,7,3
cake,8.08,7,10
donut,5.26,8,2
muffin,8.17,6,4
pie,9.91,1,10
pastry,8.28,5,9
bread,7.22,2,6
bread,6.43,5,8
cookie,9.13,2,9
donut,4.23,4,3
pie,9.66,2,4
scone,6.14,3,5
donut,1.0,4,9
muffin,6.91,8,6
scone,5.6,8,2
bread,3.97,10,7
pastry,9.12,7,4
scone,3.22,8,6
pie,7.63,2,8
muffin,2.5,9,1
bread,4.6,2,10
cake,9.16,3,7
cake,1.24,9,2
bread,7.48,5,3
pastry,6.54,2,8
scone,2.2,5,10
muffin,6.61,7,10
pastry,6.3,9,4
pastry,6.51,7,4
bread,2.93,7,5
pie,8.86,7,7
donut,8.78,7,1
scone,3.01,4,9
cookie,9.82,10,6
cake,1.39,4,1
pastry,6.48,8,2
donut,6.26,5,8
scone,2.22,7,3
donut,9.09,2,4
cookie,8.65,10,9
muffin,2.41,1,10
cupcake,5.79,2,1
cupcake,7.85,3,1
cookie,1.76,1,1
scone,3.3,1,1
donut,1.24,1,6
donut,1.86,5,8
pastry,4.0,8,3
cupcake,1.46,1,5
scone,9.75,4,8
cookie,4.9,7,7
scone,1.94,9,8
cupcake,5.55,10,4
muffin,3.67,1,6
donut,8.94,2,8
cake,2.1,7,7
cupcake,3.64,9,6
pie,5.3,6,8
cupcake,8.23,6,10
brownie,1.6,2,5
donut,3.72,5,4
scone,2.41,5,8
scone,5.73,1,2
brownie,7.1,6,9
donut,1.37,8,6
pie,1.15,4,10
cookie,5.68,1,8
cupcake,1.36,8,7
brownie,3.72,4,1
cake,6.67,5,5
cake,2.09,6,5
brownie,6.04,2,10
pie,1.04,6,6
cupcake,9.73,5,9
pastry,6.22,7,10
muffin,4.15,1,4
cupcake,1.97,8,7
cookie,8.48,5,1
brownie,6.27,3,9
cupcake,9.46,10,10
bread,3.43,10,1
pie,3.05,7,8
scone,1.82,3,5
brownie,3.33,9,1
donut,9.35,7,10
pie,2.19,2,3
brownie,6.34,7,2
cake,7.23,10,2
pie,7.57,7,10
muffin,7.75,8,2
cookie,1.06,4,2
pastry,7.55,1,7
cookie,9.81,10,9
cookie,8.81,7,3
pie,2.44,3,8
scone,1.14,2,3
donut,6.31,8,9
scone,7.98,1,9
pastry,1.72,4,5
bread,6.57,1,6
scone,4.06,2,9
cupcake,9.67,5,6
cookie,7.54,4,4
pie,3.0,5,3
muffin,6.44,2,3
cookie,6.98,5,4
scone,1.27,9,5
bread,2.73,10,3
bread,3.06,9,3
scone,9.17,7,3
muffin,2.34,9,1
bread,9.88,2,5
scone,4.51,10,6
cookie,1.96,9,9
cookie,7.73,7,8
cupcake,9.9,9,9
pie,8.04,4,7
brownie,5.16,5,8
bread,9.94,5,3
brownie,4.49,8,2
scone,6.69,1,3
bread,7.93,6,5
donut,5.81,6,3
muffin,3.63,7,10
pie,3.08,2,6
donut,3.15,4,9
donut,7.48,9,7
brownie,1.33,9,6
scone,4.1,7,1
muffin,4.33,2,10
cookie,5.29,9,8
pie,8.47,4,4
bread,5.69,10,7
bread,1.47,7,9
cookie,1.87,6,1
pie,9.97,7,9
bread,8.18,10,2
cupcake,6.6,1,2
pie,4.24,3,7
pie,4.87,9,4
donut,1.66,3,3
donut,5.82,1,7
pie,4.75,1,2
pie,6.91,8,2
brownie,6.18,6,10
pastry,2.7,10,5
cake,7.93,7,7
pastry,6.94,2,10
brownie,1.42,1,10
cookie,9.53,4,6
pastry,5.79,5,1
muffin,9.88,6,4
bread,4.54,9,6
brownie,1.32,8,4
brownie,6.34,8,5
pastry,3.83,8,1
pie,5.9,6,3
cookie,1.05,1,5
scone,8.95,9,6
donut,8.02,6,8
muffin,4.06,5,5
pie,2.53,2,10
pastry,1.05,4,10
pie,7.01,1,4
pastry,4.67,6,9
bread,9.27,8,10
muffin,8.52,5,2
donut,6.43,1,10
cookie,9.81,3,5
scone,8.78,4,9
scone,9.29,7,4
scone,2.98,9,7
donut,8.52,6,3
scone,2.97,5,6
bread,8.66,6,4
donut,4.51,5,6
donut,5.46,6,7
pastry,2.21,9,1
pie,7.28,3,5
pie,2.05,9,1
muffin,8.82,8,10
cookie,8.93,4,4
pie,7.39,4,7
pie,9.66,1,1
bread,2.59,2,3
muffin,8.88,5,2
cookie,4.73,6,1
cookie,6.91,10,3
pastry,9.42,1,3
muffin,5.41,3,9
cupcake,1.21,8,1
scone,1.31,4,6
donut,9.44,4,6
muffin,5.63,3,8
bread,6.86,1,5
cake,8.96,10,2
donut,6.33,4,7
brownie,5.45,1,7
pie,8.93,6,10
donut,2.71,4,7
cake,8.12,8,2
pastry,5.35,10,6
brownie,5.93,6,6
pie,7.37,2,9
cookie,8.09,2,5
brownie,2.38,4,1
bread,6.89,3,10
bread,1.92,4,2
cake,5.62,2,9
brownie,7.62,10,1
cupcake,7.67,5,8
cookie,2.09,2,10
cake,5.11,1,1
donut,4.07,5,7
brownie,2.18,7,6
cupcake,1.62,9,2
cake,9.25,5,10
muffin,4.52,6,6
pastry,1.37,6,9
pastry,1.16,2,8
donut,3.05,3,10
muffin,3.54,7,5
cake,2.56,4,7
pie,3.75,10,1
pastry,4.61,5,1
scone,9.82,5,6
pie,6.13,10,4
cake,3.24,7,4
cookie,5.89,8,3
cake,3.79,7,2
muffin,5.23,5,3
cupcake,1.11,10,1
cake,2.23,3,8
cake,8.95,1,5
scone,3.62,7,5
cupcake,3.54,4,7
brownie,6.98,1,5
bread,5.91,1,10
cupcake,9.94,3,1
cupcake,1.09,10,9
cookie,7.16,3,2
bread,6.36,1,10
scone,4.22,6,3
bread,4.72,1,4
cake,7.3,8,9
brownie,8.59,9,7
cookie,6.31,4,2
cupcake,5.14,1,7
muffin,7.74,1,7
brownie,2.58,6,3
brownie,9.17,9,3
brownie,4.03,5,4
cookie,7.71,5,2
brownie,2.66,10,8
pastry,7.16,5,1
pie,5.26,8,3
cupcake,8.35,2,9
scone,7.25,4,8
cookie,2.5,2,4
donut,2.9,7,8
cookie,6.92,8,1
pastry,1.91,5,1
scone,8.65,10,9
bread,3.37,7,6
cookie,9.54,10,6
pastry,2.62,8,2
bread,6.66,8,6
cupcake,2.37,4,1
cookie,7.83,10,9
cake,2.68,2,10
donut,3.77,3,9
cookie,2.63,2,6
cake,2.99,8,1
donut,6.13,6,1
scone,5.79,8,6
bread,8.25,10,5
bread,2.48,3,2
scone,3.82,2,4
muffin,4.19,7,3
brownie,1.97,2,9
cookie,3.98,3,5
cupcake,3.51,10,6
muffin,1.78,10,8
cupcake,2.84,9,6
cake,9.4,5,4
bread,1.95,7,2
cupcake,8.53,5,8
donut,2.06,10,2
pastry,9.57,9,6
cake,3.14,9,8
pie,2.58,1,8
donut,1.41,7,1
pastry,7.47,8,3
bread,5.43,3,7
muffin,6.96,2,10
muffin,6.0,7,6
donut,2.7,1,8
brownie,5.39,3,5
muffin,6.53,7,5
bread,5.95,7,10
brownie,7.06,8,1
bread,5.11,9,10
cupcake,5.53,3,7
cupcake,1.2,1,8
cookie,3.52,3,5
muffin,10.0,10,6
pastry,2.2,1,3
cupcake,7.47,10,9
pastry,5.69,7,1
cupcake,6.2,7,5
brownie,5.94,7,7
cookie,2.78,8,10
pastry,4.87,3,5
cupcake,6.33,2,10
donut,8.33,5,6
pie,6.83,1,4
bread,5.41,9,6
pastry,8.99,7,5
cupcake,6.08,5,1
donut,6.78,8,7
donut,3.65,2,8
pastry,4.22,2,9
muffin,3.91,9,6
brownie,1.92,9,10
cookie,5.18,1,10
bread,9.98,7,9
cookie,1.16,10,2
scone,2.81,8,7
muffin,3.09,1,10
pastry,8.09,5,1
cupcake,3.62,9,5
pastry,7.06,9,1
pastry,4.84,8,7
muffin,7.75,7,6
pastry,6.39,5,10
pie,6.86,1,1
muffin,3.43,2,10
cookie,9.8,8,4
cake,6.41,7,6
donut,3.68,5,8
muffin,1.38,5,8
cake,9.87,9,2
cake,4.89,3,6
scone,4.38,7,2
pastry,4.87,2,2
cake,8.84,2,9
cake,9.49,4,3
pie,9.03,9,3
donut,5.69,7,4
cupcake,9.14,5,4
cupcake,3.42,5,7
bread,3.45,7,8
scone,2.23,4,3
cupcake,7.04,9,9
cookie,2.09,8,7
scone,2.97,6,4
muffin,8.43,2,4
pie,1.17,3,2
muffin,5.19,1,3
cake,9.63,2,5
cupcake,3.62,5,3
muffin,8.48,10,8
muffin,9.32,9,5
pie,5.93,10,6
pastry,7.81,2,10
pastry,8.55,3,3
muffin,3.56,1,6
scone,3.48,9,9
pie,4.07,1,8
pie,5.27,8,4
cupcake,2.57,3,3
cake,9.98,9,7
pie,1.97,1,6
brownie,2.79,1,2
pie,6.66,10,7
scone,4.06,5,2
bread,3.54,2,4
donut,6.05,8,4
cupcake,9.96,1,6
donut,8.86,8,4
cake,2.75,9,4
brownie,4.61,5,7
bread,8.74,8,5
muffin,6.23,5,2
cookie,8.91,10,8
pie,5.98,7,9
donut,2.54,1,2
muffin,8.32,6,7
cake,7.19,9,7
scone,2.78,10,2
cookie,4.2,9,4
cookie,1.94,10,10
cupcake,5.94,4,9
donut,5.59,3,10
pie,5.5,2,2
muffin,4.43,1,5
cake,2.03,6,6
donut,8.06,9,3
cookie,1.39,6,3
cake,3.51,5,2
scone,2.85,8,7
pastry,7.04,3,5
muffin,3.62,7,6
muffin,6.11,1,1
scone,7.12,2,3
cake,9.93,2,4
scone,9.09,4,8
cake,9.09,10,8
cookie,1.21,10,9
pie,2.77,1,9
cookie,3.6,3,1
scone,8.71,10,9
pie,3.47,5,3
cake,2.08,10,5
brownie,9.02,8,6
cupcake,2.78,1,2
scone,2.82,7,9
donut,8.22,2,1
pastry,1.2,1,7
brownie,9.89,10,10
donut,1.4,5,5
cookie,4.37,10,9
donut,7.27,9,4
pastry,3.44,2,9
muffin,5.01,2,4
brownie,1.31,3,3
brownie,2.85,1,7
cookie,5.93,1,2
bread,2.28,5,8
pastry,9.29,5,8
muffin,3.18,9,6
donut,2.45,4,10
muffin,6.39,1,5
bread,6.44,2,2
brownie,5.65,3,9
donut,6.45,9,5
donut,2.34,7,9
cupcake,9.1,9,4
donut,7.87,5,2
scone,6.34,8,5
donut,4.28,1,4
scone,4.43,2,9
bread,5.16,1,4
brownie,8.89,10,3
pie,5.86,4,2
scone,7.31,6,9
brownie,5.43,4,3
pie,4.56,4,2
pastry,5.0,9,9
bread,3.4,3,10
cookie,8.07,2,6
pie,5.25,6,3
cake,2.07,2,9
pastry,4.41,3,4
pastry,7.54,4,7
cake,4.75,4,10
donut,1.52,3,4
cake,9.46,5,1
cookie,2.29,8,3
pie,6.77,10,7
muffin,4.98,7,10
donut,9.29,8,7
donut,7.83,9,8
scone,7.92,6,1
